Zone,Price,Weight,Service
5,$7.17 ,14,DHL SmartMail Parcel Expedited Max
5,$7.31 ,15,DHL SmartMail Parcel Expedited Max
5,$7.47 ,16,DHL SmartMail Parcel Expedited Max
6,$4.69 ,1,DHL SmartMail Parcel Expedited Max
6,$4.69 ,2,DHL SmartMail Parcel Expedited Max
6,$4.71 ,3,DHL SmartMail Parcel Expedited Max
6,$4.71 ,4,DHL SmartMail Parcel Expedited Max
6,$5.10 ,5,DHL SmartMail Parcel Expedited Max
6,$5.26 ,6,DHL SmartMail Parcel Expedited Max
6,$5.44 ,7,DHL SmartMail Parcel Expedited Max
6,$5.60 ,8,DHL SmartMail Parcel Expedited Max
6,$6.16 ,9,DHL SmartMail Parcel Expedited Max
6,$6.34 ,10,DHL SmartMail Parcel Expedited Max
6,$6.50 ,11,DHL SmartMail Parcel Expedited Max
6,$6.69 ,12,DHL SmartMail Parcel Expedited Max
6,$7.28 ,13,DHL SmartMail Parcel Expedited Max
6,$7.43 ,14,DHL SmartMail Parcel Expedited Max
6,$7.61 ,15,DHL SmartMail Parcel Expedited Max
6,$7.78 ,16,DHL SmartMail Parcel Expedited Max
7,$4.76 ,1,DHL SmartMail Parcel Expedited Max
7,$4.76 ,2,DHL SmartMail Parcel Expedited Max
7,$4.76 ,3,DHL SmartMail Parcel Expedited Max
7,$4.77 ,4,DHL SmartMail Parcel Expedited Max
7,$5.16 ,5,DHL SmartMail Parcel Expedited Max
7,$5.34 ,6,DHL SmartMail Parcel Expedited Max
7,$5.52 ,7,DHL SmartMail Parcel Expedited Max
7,$5.71 ,8,DHL SmartMail Parcel Expedited Max
7,$6.30 ,9,DHL SmartMail Parcel Expedited Max
7,$6.47 ,10,DHL SmartMail Parcel Expedited Max
7,$6.67 ,11,DHL SmartMail Parcel Expedited Max
7,$6.84 ,12,DHL SmartMail Parcel Expedited Max
7,$7.44 ,13,DHL SmartMail Parcel Expedited Max
7,$7.62 ,14,DHL SmartMail Parcel Expedited Max
7,$7.80 ,15,DHL SmartMail Parcel Expedited Max
